open,close,high,low,vol,amount,year,month,day,hour,minute,datetime
8.53,8.59,8.62,8.49,6511100.0,55822692.0,2017,6,7,10,30,2017-06-07 10:30
8.6,8.72,8.73,8.55,8498000.0,73383344.0,2017,6,7,11,30,2017-06-07 11:30
8.73,8.69,8.76,8.67,8373600.0,72921592.0,2017,6,7,14,0,2017-06-07 14:00
8.69,8.82,8.89,8.66,16706600.0,146826288.0,2017,6,7,15,0,2017-06-07 15:00
8.8,8.93,9.16,8.76,27258000.0,244606048.0,2017,6,8,10,30,2017-06-08 10:30
8.94,9.01,9.08,8.91,8837900.0,79515520.0,2017,6,8,11,30,2017-06-08 11:30
9.04,8.88,9.07,8.84,5595800.0,50091488.0,2017,6,8,14,0,2017-06-08 14:00
8.88,8.85,8.99,8.8,9411600.0,83568576.0,2017,6,8,15,0,2017-06-08 15:00
8.91,8.94,9.07,8.88,21418600.0,192577632.0,2017,6,9,10,30,2017-06-09 10:30
8.93,8.94,9.03,8.84,8187600.0,73203152.0,2017,6,9,11,30,2017-06-09 11:30
8.95,8.95,9.01,8.91,4473000.0,40070608.0,2017,6,9,14,0,2017-06-09 14:00
8.95,9.12,9.15,8.92,19447600.0,176391296.0,2017,6,9,15,0,2017-06-09 15:00
9.1,9.04,9.1,8.95,14050400.0,126702432.0,2017,6,12,10,30,2017-06-12 10:30
9.03,8.92,9.04,8.91,7381500.0,66093056.0,2017,6,12,11,30,2017-06-12 11:30
8.92,8.88,8.96,8.86,6496900.0,57858352.0,2017,6,12,14,0,2017-06-12 14:00
8.88,8.94,8.94,8.81,10003800.0,88725232.0,2017,6,12,15,0,2017-06-12 15:00
8.87,8.84,8.98,8.83,5255500.0,46832048.0,2017,6,13,10,30,2017-06-13 10:30
8.84,8.88,8.89,8.76,7583600.0,66983992.0,2017,6,13,11,30,2017-06-13 11:30
8.88,8.84,8.95,8.84,6447400.0,57246472.0,2017,6,13,14,0,2017-06-13 14:00
8.84,8.98,9.02,8.83,10218700.0,91221920.0,2017,6,13,15,0,2017-06-13 15:00
8.81,8.84,8.88,8.75,11307500.0,99503576.0,2017,6,14,10,30,2017-06-14 10:30
8.84,8.85,8.88,8.81,2970700.0,26294400.0,2017,6,14,11,30,2017-06-14 11:30
8.85,8.86,8.9,8.81,3977700.0,35283976.0,2017,6,14,14,0,2017-06-14 14:00
8.86,8.9,8.98,8.82,8930900.0,79581472.0,2017,6,14,15,0,2017-06-14 15:00
8.83,8.93,8.95,8.83,4797100.0,42719352.0,2017,6,15,10,30,2017-06-15 10:30
8.95,8.92,8.97,8.9,2799200.0,25017400.0,2017,6,15,11,30,2017-06-15 11:30
8.92,8.94,8.97,8.91,4298200.0,38449720.0,2017,6,15,14,0,2017-06-15 14:00
8.94,8.94,8.97,8.87,7398600.0,66024088.0,2017,6,15,15,0,2017-06-15 15:00
8.79,8.73,8.79,8.66,6212700.0,54175076.0,2017,6,16,10,30,2017-06-16 10:30
8.72,8.67,8.75,8.66,3756900.0,32693020.0,2017,6,16,11,30,2017-06-16 11:30
8.67,8.74,8.77,8.66,4163600.0,36328864.0,2017,6,16,14,0,2017-06-16 14:00
8.74,8.74,8.83,8.72,6352000.0,55682176.0,2017,6,16,15,0,2017-06-16 15:00
8.73,8.78,8.91,8.7,6030700.0,53178312.0,2017,6,19,10,30,2017-06-19 10:30
8.78,8.91,8.93,8.77,9997100.0,88761224.0,2017,6,19,11,30,2017-06-19 11:30
8.9,8.84,8.92,8.83,3423600.0,30397120.0,2017,6,19,14,0,2017-06-19 14:00
