open,close,high,low,vol,amount,year,month,day,hour,minute,datetime
7.62,7.65,7.68,7.62,3801800.0,29085840.0,2017,11,23,10,30,2017-11-23 10:30
7.64,7.63,7.7,7.63,3149500.0,24158256.0,2017,11,23,11,30,2017-11-23 11:30
7.63,7.64,7.66,7.6,2823400.0,21551072.0,2017,11,23,14,0,2017-11-23 14:00
7.64,7.49,7.65,7.47,4573500.0,34552872.0,2017,11,23,15,0,2017-11-23 15:00
7.45,7.54,7.61,7.44,3869600.0,29174552.0,2017,11,24,10,30,2017-11-24 10:30
7.54,7.52,7.58,7.52,1278800.0,9661540.0,2017,11,24,11,30,2017-11-24 11:30
7.51,7.6,7.61,7.5,2410400.0,18219072.0,2017,11,24,14,0,2017-11-24 14:00
7.6,7.62,7.66,7.59,4448700.0,33883900.0,2017,11,24,15,0,2017-11-24 15:00
7.55,7.56,7.61,7.5,3823400.0,28850364.0,2017,11,27,10,30,2017-11-27 10:30
7.55,7.57,7.58,7.54,1377200.0,10407020.0,2017,11,27,11,30,2017-11-27 11:30
7.57,7.54,7.58,7.54,1395700.0,10553800.0,2017,11,27,14,0,2017-11-27 14:00
7.54,7.47,7.55,7.45,4222900.0,31656584.0,2017,11,27,15,0,2017-11-27 15:00
7.45,7.55,7.61,7.45,4476500.0,33814764.0,2017,11,28,10,30,2017-11-28 10:30
7.54,7.56,7.57,7.52,1209700.0,9127972.0,2017,11,28,11,30,2017-11-28 11:30
7.56,7.59,7.6,7.54,2506200.0,18984540.0,2017,11,28,14,0,2017-11-28 14:00
7.59,7.61,7.61,7.56,3071500.0,23307932.0,2017,11,28,15,0,2017-11-28 15:00
7.61,7.7,7.71,7.57,6850700.0,52395520.0,2017,11,29,10,30,2017-11-29 10:30
7.7,7.68,7.71,7.63,3864100.0,29642104.0,2017,11,29,11,30,2017-11-29 11:30
7.69,7.69,7.71,7.64,2862100.0,21972696.0,2017,11,29,14,0,2017-11-29 14:00
7.7,7.72,7.72,7.67,4369300.0,33623024.0,2017,11,29,15,0,2017-11-29 15:00
7.71,7.69,7.73,7.66,3512200.0,27024630.0,2017,11,30,10,30,2017-11-30 10:30
7.69,7.67,7.69,7.64,2373100.0,18183370.0,2017,11,30,11,30,2017-11-30 11:30
7.67,7.64,7.67,7.61,2408500.0,18396816.0,2017,11,30,14,0,2017-11-30 14:00
7.64,7.6,7.64,7.59,3388700.0,25769472.0,2017,11,30,15,0,2017-11-30 15:00
7.61,7.61,7.62,7.53,2831500.0,21441468.0,2017,12,1,10,30,2017-12-01 10:30
7.61,7.57,7.63,7.56,2063400.0,15672332.0,2017,12,1,11,30,2017-12-01 11:30
7.57,7.56,7.58,7.54,1888200.0,14270528.0,2017,12,1,14,0,2017-12-01 14:00
7.56,7.58,7.61,7.56,2366200.0,17959016.0,2017,12,1,15,0,2017-12-01 15:00
7.61,7.56,7.61,7.55,3340800.0,25304070.0,2017,12,4,10,30,2017-12-04 10:30
7.56,7.52,7.57,7.49,4408000.0,33195582.0,2017,12,4,11,30,2017-12-04 11:30
7.52,7.48,7.53,7.43,4235200.0,31671620.0,2017,12,4,14,0,2017-12-04 14:00
7.48,7.42,7.49,7.4,5530300.0,41056224.0,2017,12,4,15,0,2017-12-04 15:00
7.41,7.3,7.45,7.26,5321300.0,39206556.0,2017,12,5,10,30,2017-12-05 10:30
7.3,7.31,7.37,7.29,2627400.0,19201636.0,2017,12,5,11,30,2017-12-05 11:30
7.3,7.23,7.32,7.18,4804100.0,34884744.0,2017,12,5,14,0,2017-12-05 14:00
7.22,7.21,7.27,7.18,5485000.0,39599136.0,2017,12,5,15,0,2017-12-05 15:00
7.22,7.2,7.27,7.18,5191300.0,37513592.0,2017,12,6,10,30,2017-12-06 10:30
7.2,7.23,7.26,7.2,2156900.0,15613076.0,2017,12,6,11,30,2017-12-06 11:30
7.23,7.21,7.24,7.19,2359800.0,17004908.0,2017,12,6,14,0,2017-12-06 14:00
7.2,7.29,7.29,7.18,5024600.0,36390136.0,2017,12,6,15,0,2017-12-06 15:00
7.35,7.44,7.53,7.3,12252900.0,91274632.0,2017,12,7,10,30,2017-12-07 10:30
7.44,7.44,7.45,7.4,2247900.0,16690640.0,2017,12,7,11,30,2017-12-07 11:30
7.43,7.39,7.45,7.39,2269600.0,16829184.0,2017,12,7,14,0,2017-12-07 14:00
7.39,7.3,7.43,7.3,4547300.0,33407256.0,2017,12,7,15,0,2017-12-07 15:00
7.32,7.34,7.41,7.26,5192800.0,38180124.0,2017,12,8,10,30,2017-12-08 10:30
7.35,7.36,7.39,7.31,3176000.0,23303236.0,2017,12,8,11,30,2017-12-08 11:30
7.36,7.38,7.4,7.35,3724900.0,27494248.0,2017,12,8,14,0,2017-12-08 14:00
7.37,7.32,7.4,7.31,6758500.0,49670664.0,2017,12,8,15,0,2017-12-08 15:00
7.36,7.39,7.42,7.36,3917400.0,28968758.0,2017,12,11,10,30,2017-12-11 10:30
7.39,7.43,7.43,7.39,2937000.0,21758718.0,2017,12,11,11,30,2017-12-11 11:30
7.43,7.42,7.46,7.41,3397000.0,25266980.0,2017,12,11,14,0,2017-12-11 14:00
7.43,7.45,7.46,7.42,3985800.0,29681656.0,2017,12,11,15,0,2017-12-11 15:00
7.45,7.41,7.47,7.41,2729800.0,20294484.0,2017,12,12,10,30,2017-12-12 10:30
7.41,7.47,7.51,7.39,4777000.0,35580268.0,2017,12,12,11,30,2017-12-12 11:30
