open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1355.35,1383.55,1390.19,1352.62,3870433.0,387055904.0,2017,11,21,10,30,2017-11-21 10:30,2,9
1382.88,1379.27,1389.88,1376.29,3689309.0,368945120.0,2017,11,21,11,30,2017-11-21 11:30,8,4
1377.83,1381.34,1390.64,1377.5,2953100.0,295324736.0,2017,11,21,14,0,2017-11-21 14:00,4,6
1381.86,1394.03,1395.39,1379.04,3664816.0,366494656.0,2017,11,21,15,0,2017-11-21 15:00,3,9
1394.72,1401.33,1413.07,1391.79,5429102.0,542923328.0,2017,11,22,10,30,2017-11-22 10:30,6,5
1400.44,1399.03,1411.65,1395.76,3332217.0,333236608.0,2017,11,22,11,30,2017-11-22 11:30,8,4
1399.09,1385.19,1402.37,1384.01,2324666.0,232480576.0,2017,11,22,14,0,2017-11-22 14:00,5,6
1384.87,1392.76,1392.76,1384.65,3465365.0,346550272.0,2017,11,22,15,0,2017-11-22 15:00,3,9
1386.92,1392.12,1394.34,1374.4,3271736.0,327186944.0,2017,11,23,10,30,2017-11-23 10:30,4,7
1391.52,1386.12,1403.02,1386.12,3021918.0,302206336.0,2017,11,23,11,30,2017-11-23 11:30,5,7
1386.12,1387.2,1388.07,1374.74,2376424.0,237655680.0,2017,11,23,14,0,2017-11-23 14:00,2,10
1386.53,1365.05,1388.33,1361.32,3722564.0,372269440.0,2017,11,23,15,0,2017-11-23 15:00,4,8
1361.5,1355.72,1373.28,1353.23,3188984.0,318912032.0,2017,11,24,10,30,2017-11-24 10:30,6,6
1356.36,1364.52,1366.36,1350.87,1514474.0,151461536.0,2017,11,24,11,30,2017-11-24 11:30,4,7
1364.52,1368.2,1369.35,1358.99,2032968.0,203310848.0,2017,11,24,14,0,2017-11-24 14:00,5,7
1367.76,1380.34,1380.34,1366.99,3059487.0,305961856.0,2017,11,24,15,0,2017-11-24 15:00,7,5
1378.97,1364.75,1380.66,1358.28,3634643.0,363477792.0,2017,11,27,10,30,2017-11-27 10:30,4,7
1364.43,1357.9,1364.43,1353.41,1868740.0,186889056.0,2017,11,27,11,30,2017-11-27 11:30,2,10
1357.77,1363.27,1365.26,1357.57,1132850.0,113299904.0,2017,11,27,14,0,2017-11-27 14:00,4,8
1363.33,1361.89,1371.31,1359.52,2553564.0,255370304.0,2017,11,27,15,0,2017-11-27 15:00,3,9
1353.32,1343.72,1355.3,1339.35,2759284.0,275941088.0,2017,11,28,10,30,2017-11-28 10:30,6,5
1343.67,1331.98,1344.51,1330.38,2160740.0,216088064.0,2017,11,28,11,30,2017-11-28 11:30,6,6
1332.71,1340.43,1341.82,1327.3,1784371.0,178452192.0,2017,11,28,14,0,2017-11-28 14:00,6,5
1340.46,1344.16,1344.45,1333.62,2259951.0,226009088.0,2017,11,28,15,0,2017-11-28 15:00,8,4
1338.93,1334.21,1341.11,1325.39,3212625.0,321276480.0,2017,11,29,10,30,2017-11-29 10:30,3,7
1335.0,1333.64,1345.91,1329.46,2259226.0,225936576.0,2017,11,29,11,30,2017-11-29 11:30,2,10
1334.48,1350.61,1350.61,1332.36,1842801.0,184294400.0,2017,11,29,14,0,2017-11-29 14:00,3,9
