open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
2240.3,2265.19,2287.09,2240.3,3529402.0,352953312.0,2017,11,21,10,30,2017-11-21 10:30,5,7
2268.33,2270.09,2278.26,2265.93,1831639.0,183177568.0,2017,11,21,11,30,2017-11-21 11:30,6,7
2271.73,2283.27,2293.38,2271.73,2529668.0,252981120.0,2017,11,21,14,0,2017-11-21 14:00,4,8
2282.76,2332.64,2333.32,2282.12,4795183.0,479532864.0,2017,11,21,15,0,2017-11-21 15:00,4,9
2331.63,2323.36,2343.61,2307.35,3762222.0,376234208.0,2017,11,22,10,30,2017-11-22 10:30,7,6
2323.68,2300.88,2333.26,2300.88,2239517.0,223965344.0,2017,11,22,11,30,2017-11-22 11:30,5,8
2300.89,2258.32,2300.89,2257.24,2787429.0,278756096.0,2017,11,22,14,0,2017-11-22 14:00,6,7
2259.82,2252.81,2266.64,2243.76,3924872.0,392501888.0,2017,11,22,15,0,2017-11-22 15:00,3,8
2241.15,2214.74,2241.15,2199.33,3826725.0,382686304.0,2017,11,23,10,30,2017-11-23 10:30,7,5
2218.53,2210.51,2229.72,2204.12,2293834.0,229398880.0,2017,11,23,11,30,2017-11-23 11:30,3,10
2209.13,2220.05,2223.84,2198.33,1813616.0,181376000.0,2017,11,23,14,0,2017-11-23 14:00,3,10
2220.93,2199.33,2223.99,2198.17,2947635.0,294778048.0,2017,11,23,15,0,2017-11-23 15:00,2,10
2195.93,2164.97,2218.44,2162.01,3357615.0,335773824.0,2017,11,24,10,30,2017-11-24 10:30,2,10
2162.9,2190.91,2197.76,2162.69,1682006.0,168215392.0,2017,11,24,11,30,2017-11-24 11:30,2,10
2189.65,2176.96,2189.65,2167.63,1680778.0,168092320.0,2017,11,24,14,0,2017-11-24 14:00,2,10
2176.96,2179.19,2190.66,2176.73,2117135.0,211727424.0,2017,11,24,15,0,2017-11-24 15:00,6,7
2179.74,2127.99,2179.74,2118.3,3793680.0,379381376.0,2017,11,27,10,30,2017-11-27 10:30,3,9
2127.8,2119.47,2137.84,2118.63,2043662.0,204380992.0,2017,11,27,11,30,2017-11-27 11:30,8,5
2119.49,2097.25,2127.55,2094.65,2296721.0,229685824.0,2017,11,27,14,0,2017-11-27 14:00,7,5
2097.53,2098.79,2117.39,2096.39,2947101.0,294724480.0,2017,11,27,15,0,2017-11-27 15:00,6,7
2106.94,2134.28,2144.09,2104.83,2855550.0,285569632.0,2017,11,28,10,30,2017-11-28 10:30,6,7
