open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1538.15,1536.29,1538.21,1528.98,5202504.0,520264320.0,2017,11,27,10,30,2017-11-27 10:30,13,18
1535.94,1532.06,1536.99,1531.4,2857365.0,285750144.0,2017,11,27,11,30,2017-11-27 11:30,14,18
1532.06,1529.85,1532.99,1528.09,2372639.0,237278656.0,2017,11,27,14,0,2017-11-27 14:00,15,17
1529.45,1525.45,1529.82,1524.43,4774337.0,477447232.0,2017,11,27,15,0,2017-11-27 15:00,14,16
1523.78,1529.0,1534.2,1523.78,4208063.0,420819712.0,2017,11,28,10,30,2017-11-28 10:30,19,11
1528.99,1524.1,1529.21,1524.1,3429958.0,343009920.0,2017,11,28,11,30,2017-11-28 11:30,19,12
1524.13,1532.85,1532.89,1522.77,2820421.0,282056448.0,2017,11,28,14,0,2017-11-28 14:00,14,17
1532.98,1537.16,1537.16,1529.78,5139158.0,513930880.0,2017,11,28,15,0,2017-11-28 15:00,25,8
1536.07,1529.75,1540.24,1526.66,5759058.0,575918528.0,2017,11,29,10,30,2017-11-29 10:30,10,22
1529.67,1525.3,1529.73,1520.8,3023230.0,302337984.0,2017,11,29,11,30,2017-11-29 11:30,7,25
1525.41,1530.73,1530.99,1522.62,2558241.0,255837824.0,2017,11,29,14,0,2017-11-29 14:00,5,28
1530.61,1535.1,1535.99,1528.79,4413479.0,441362176.0,2017,11,29,15,0,2017-11-29 15:00,7,23
1531.7,1538.38,1539.23,1528.02,4893103.0,489323136.0,2017,11,30,10,30,2017-11-30 10:30,5,26
1538.4,1534.45,1538.82,1533.43,2427666.0,242782208.0,2017,11,30,11,30,2017-11-30 11:30,13,19
1534.37,1528.97,1536.03,1528.63,2230399.0,223055232.0,2017,11,30,14,0,2017-11-30 14:00,11,18
1529.17,1527.26,1529.17,1522.53,4276405.0,427655296.0,2017,11,30,15,0,2017-11-30 15:00,4,28
1524.96,1534.34,1535.14,1523.97,3698267.0,369839360.0,2017,12,1,10,30,2017-12-01 10:30,13,16
1534.59,1529.74,1536.14,1529.38,2681757.0,268190528.0,2017,12,1,11,30,2017-12-01 11:30,27,5
1529.67,1530.17,1532.19,1529.01,2433352.0,243349056.0,2017,12,1,14,0,2017-12-01 14:00,18,10
1529.94,1534.34,1534.57,1529.23,4055456.0,405559168.0,2017,12,1,15,0,2017-12-01 15:00,19,11
1531.21,1518.46,1531.21,1514.4,5588711.0,558883712.0,2017,12,4,10,30,2017-12-04 10:30,6,26
1518.32,1514.58,1518.52,1514.23,3057293.0,305743296.0,2017,12,4,11,30,2017-12-04 11:30,3,29
1514.58,1507.59,1516.01,1506.69,2832974.0,283311552.0,2017,12,4,14,0,2017-12-04 14:00,3,28
1507.92,1496.52,1508.99,1496.52,4638780.0,463892864.0,2017,12,4,15,0,2017-12-04 15:00,3,29
1492.25,1476.11,1494.46,1475.75,5102374.0,510250272.0,2017,12,5,10,30,2017-12-05 10:30,12,15
1476.58,1477.54,1482.59,1470.75,3455417.0,345556320.0,2017,12,5,11,30,2017-12-05 11:30,3,28
1477.0,1469.54,1478.26,1467.05,3037639.0,303778176.0,2017,12,5,14,0,2017-12-05 14:00,3,29
1469.37,1468.27,1470.01,1460.16,5549710.0,554985216.0,2017,12,5,15,0,2017-12-05 15:00,4,26
1463.56,1466.08,1472.73,1461.05,4356883.0,435702176.0,2017,12,6,10,30,2017-12-06 10:30,12,20
1465.99,1465.07,1468.41,1463.24,2677292.0,267742752.0,2017,12,6,11,30,2017-12-06 11:30,14,17
1465.12,1455.25,1465.12,1454.58,2711813.0,271195136.0,2017,12,6,14,0,2017-12-06 14:00,11,19
1454.59,1477.45,1478.48,1452.62,4810182.0,481032128.0,2017,12,6,15,0,2017-12-06 15:00,5,26
1476.1,1482.17,1483.14,1474.43,4318964.0,431909408.0,2017,12,7,10,30,2017-12-07 10:30,7,21
1482.01,1484.51,1486.12,1480.15,1828834.0,182897824.0,2017,12,7,11,30,2017-12-07 11:30,11,17
1484.49,1485.06,1486.47,1481.19,1693314.0,169345920.0,2017,12,7,14,0,2017-12-07 14:00,17,12
1484.32,1480.46,1484.81,1477.45,3294850.0,329498816.0,2017,12,7,15,0,2017-12-07 15:00,19,11
1481.37,1490.7,1492.1,1479.75,5065239.0,506537120.0,2017,12,8,10,30,2017-12-08 10:30,15,12
1490.74,1489.25,1491.22,1487.74,1897989.0,189813536.0,2017,12,8,11,30,2017-12-08 11:30,25,4
1489.25,1492.74,1494.58,1489.15,2574954.0,257509120.0,2017,12,8,14,0,2017-12-08 14:00,24,6
1493.32,1490.28,1494.78,1489.04,3785080.0,378522176.0,2017,12,8,15,0,2017-12-08 15:00,26,5
1489.81,1493.85,1495.8,1489.67,3739371.0,373950624.0,2017,12,11,10,30,2017-12-11 10:30,12,14
1493.78,1495.07,1496.61,1493.78,1872464.0,187260576.0,2017,12,11,11,30,2017-12-11 11:30,20,11
1495.06,1494.72,1495.55,1493.0,1619610.0,161975296.0,2017,12,11,14,0,2017-12-11 14:00,20,10
1494.92,1496.59,1497.48,1494.4,3576583.0,357672000.0,2017,12,11,15,0,2017-12-11 15:00,19,10
1496.02,1490.2,1496.19,1488.24,3359783.0,335991744.0,2017,12,12,10,30,2017-12-12 10:30,7,21
1490.12,1488.85,1491.33,1487.02,2177133.0,217727552.0,2017,12,12,11,30,2017-12-12 11:30,7,23
1488.65,1484.38,1489.11,1483.39,2256044.0,225618304.0,2017,12,12,14,0,2017-12-12 14:00,6,24
1483.99,1480.23,1486.87,1480.1,3083338.0,308347392.0,2017,12,12,15,0,2017-12-12 15:00,5,26
1479.44,1483.59,1483.59,1478.98,2518281.0,251841872.0,2017,12,13,10,30,2017-12-13 10:30,12,18
1483.46,1477.86,1483.8,1476.11,1425207.0,142534096.0,2017,12,13,11,30,2017-12-13 11:30,16,14
1477.89,1480.5,1482.32,1476.92,1621888.0,162203488.0,2017,12,13,14,0,2017-12-13 14:00,12,17
1480.38,1483.25,1483.62,1478.69,3048409.0,304855296.0,2017,12,13,15,0,2017-12-13 15:00,15,13
1482.86,1484.21,1487.3,1481.44,2961660.0,296179136.0,2017,12,14,10,30,2017-12-14 10:30,14,16
1484.4,1485.16,1485.56,1481.25,1560502.0,156064544.0,2017,12,14,11,30,2017-12-14 11:30,10,20
1485.16,1483.56,1485.84,1481.95,1555258.0,155540640.0,2017,12,14,14,0,2017-12-14 14:00,12,17
1483.96,1485.1,1486.59,1481.57,3087956.0,308809984.0,2017,12,14,15,0,2017-12-14 15:00,10,19
1485.47,1482.73,1485.62,1481.31,4957268.0,495740640.0,2017,12,15,10,30,2017-12-15 10:30,7,24
1483.48,1476.83,1484.7,1475.63,2457658.0,245780704.0,2017,12,15,11,30,2017-12-15 11:30,12,19
1476.83,1479.1,1481.17,1476.58,2133134.0,213328128.0,2017,12,15,14,0,2017-12-15 14:00,5,25
