open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1295.78,1269.37,1298.21,1267.46,1707898.0,170816880.0,2017,11,17,10,30,2017-11-17 10:30,2,7
1269.53,1275.84,1279.37,1269.53,791558.0,79185728.0,2017,11,17,11,30,2017-11-17 11:30,0,9
1275.84,1270.11,1278.61,1269.22,933501.0,93380368.0,2017,11,17,14,0,2017-11-17 14:00,0,9
1270.59,1257.14,1272.72,1255.05,1513064.0,151333216.0,2017,11,17,15,0,2017-11-17 15:00,0,9
1253.71,1243.02,1253.71,1234.12,1559753.0,156001888.0,2017,11,20,10,30,2017-11-20 10:30,2,7
1243.12,1248.77,1250.01,1238.78,661555.0,66186640.0,2017,11,20,11,30,2017-11-20 11:30,2,7
1248.95,1249.54,1250.13,1245.37,514951.0,51526192.0,2017,11,20,14,0,2017-11-20 14:00,2,7
1249.48,1266.64,1267.73,1248.56,905477.0,90578848.0,2017,11,20,15,0,2017-11-20 15:00,2,7
1267.73,1266.4,1271.4,1261.56,897923.0,89823736.0,2017,11,21,10,30,2017-11-21 10:30,6,3
1266.4,1259.8,1266.59,1259.19,738955.0,73927944.0,2017,11,21,11,30,2017-11-21 11:30,4,5
1260.0,1267.48,1268.49,1258.56,692612.0,69293600.0,2017,11,21,14,0,2017-11-21 14:00,1,8
1267.59,1273.83,1274.75,1267.55,1157500.0,115781504.0,2017,11,21,15,0,2017-11-21 15:00,2,6
1277.1,1276.13,1277.94,1265.46,1073483.0,107377200.0,2017,11,22,10,30,2017-11-22 10:30,1,6
1276.01,1274.96,1281.57,1273.8,681344.0,68164672.0,2017,11,22,11,30,2017-11-22 11:30,7,1
1274.87,1264.23,1274.87,1263.73,626320.0,62662368.0,2017,11,22,14,0,2017-11-22 14:00,4,3
1265.04,1265.08,1267.27,1260.9,945734.0,94605328.0,2017,11,22,15,0,2017-11-22 15:00,5,3
1258.83,1255.52,1262.47,1252.94,912972.0,91325880.0,2017,11,23,10,30,2017-11-23 10:30,2,7
1255.36,1236.84,1255.51,1236.44,854123.0,85443064.0,2017,11,23,11,30,2017-11-23 11:30,1,7
1236.36,1247.78,1247.78,1231.08,973667.0,97398160.0,2017,11,23,14,0,2017-11-23 14:00,0,9
1247.87,1226.53,1248.06,1225.27,1069308.0,106958208.0,2017,11,23,15,0,2017-11-23 15:00,0,9
1226.88,1228.82,1231.08,1219.6,892537.0,89282088.0,2017,11,24,10,30,2017-11-24 10:30,4,3
1229.12,1231.26,1236.45,1225.47,649506.0,64981528.0,2017,11,24,11,30,2017-11-24 11:30,3,5
1231.42,1231.12,1232.17,1227.42,488429.0,48869696.0,2017,11,24,14,0,2017-11-24 14:00,3,6
1231.19,1232.23,1235.99,1229.72,691735.0,69202000.0,2017,11,24,15,0,2017-11-24 15:00,4,5
1227.76,1223.61,1236.76,1220.86,738847.0,73913808.0,2017,11,27,10,30,2017-11-27 10:30,1,7
1223.49,1224.39,1224.65,1219.51,408327.0,40860208.0,2017,11,27,11,30,2017-11-27 11:30,1,8
1224.63,1222.35,1226.86,1221.81,294427.0,29469776.0,2017,11,27,14,0,2017-11-27 14:00,2,6
1222.23,1211.62,1223.09,1211.17,571067.0,57133856.0,2017,11,27,15,0,2017-11-27 15:00,1,8
1213.19,1216.6,1223.85,1213.19,568959.0,56924780.0,2017,11,28,10,30,2017-11-28 10:30,8,0
1216.6,1218.65,1220.87,1214.19,374575.0,37486228.0,2017,11,28,11,30,2017-11-28 11:30,7,2
1218.9,1218.22,1219.9,1214.88,588723.0,58903392.0,2017,11,28,14,0,2017-11-28 14:00,8,1
1218.31,1220.16,1221.6,1216.92,822973.0,82328352.0,2017,11,28,15,0,2017-11-28 15:00,6,3
1220.37,1219.39,1225.12,1215.56,754420.0,75470128.0,2017,11,29,10,30,2017-11-29 10:30,5,4
1218.57,1213.55,1219.11,1209.91,408973.0,40925416.0,2017,11,29,11,30,2017-11-29 11:30,3,6
1213.61,1216.56,1216.69,1209.32,300553.0,30081432.0,2017,11,29,14,0,2017-11-29 14:00,1,8
1216.66,1220.0,1222.33,1214.95,634904.0,63519584.0,2017,11,29,15,0,2017-11-29 15:00,2,7
1216.18,1216.04,1217.38,1200.29,1316650.0,131694688.0,2017,11,30,10,30,2017-11-30 10:30,1,7
1215.58,1220.27,1224.77,1215.35,938132.0,93847136.0,2017,11,30,11,30,2017-11-30 11:30,6,2
1220.27,1200.42,1221.8,1198.15,1037953.0,103827712.0,2017,11,30,14,0,2017-11-30 14:00,5,4
