open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1557.25,1552.76,1557.25,1537.82,10198061.0,1019819584.0,2017,11,27,10,30,2017-11-27 10:30,13,26
1552.34,1553.48,1558.08,1548.58,6393441.0,639358656.0,2017,11,27,11,30,2017-11-27 11:30,12,23
1553.77,1548.13,1555.74,1548.13,4738759.0,473890688.0,2017,11,27,14,0,2017-11-27 14:00,19,19
1547.97,1536.02,1549.95,1531.76,11151048.0,1115118720.0,2017,11,27,15,0,2017-11-27 15:00,10,25
1534.01,1543.09,1548.6,1534.01,10478761.0,1047889152.0,2017,11,28,10,30,2017-11-28 10:30,22,12
1543.52,1542.14,1545.7,1540.69,5414623.0,541476992.0,2017,11,28,11,30,2017-11-28 11:30,22,16
1542.17,1548.3,1548.3,1539.28,6071531.0,607167104.0,2017,11,28,14,0,2017-11-28 14:00,22,16
1548.09,1551.92,1552.45,1543.15,8129595.0,812973568.0,2017,11,28,15,0,2017-11-28 15:00,29,8
1549.78,1535.57,1551.6,1531.56,9512917.0,951303552.0,2017,11,29,10,30,2017-11-29 10:30,9,26
1534.96,1528.46,1536.33,1524.97,6526206.0,652634752.0,2017,11,29,11,30,2017-11-29 11:30,3,35
1528.58,1537.18,1537.84,1526.99,4704464.0,470460672.0,2017,11,29,14,0,2017-11-29 14:00,1,37
1537.19,1536.66,1537.93,1533.4,7061501.0,706164480.0,2017,11,29,15,0,2017-11-29 15:00,3,35
1533.5,1532.16,1536.95,1519.94,6621704.0,662183744.0,2017,11,30,10,30,2017-11-30 10:30,4,35
1532.71,1533.36,1534.45,1531.11,3707390.0,370753408.0,2017,11,30,11,30,2017-11-30 11:30,12,26
1533.43,1529.72,1541.78,1528.91,4412646.0,441278656.0,2017,11,30,14,0,2017-11-30 14:00,10,26
1529.71,1528.22,1530.13,1521.93,7670698.0,767084160.0,2017,11,30,15,0,2017-11-30 15:00,2,35
1530.29,1556.94,1557.23,1529.56,12391417.0,1239154816.0,2017,12,1,10,30,2017-12-01 10:30,11,21
1557.0,1555.91,1564.92,1554.7,8566078.0,856622208.0,2017,12,1,11,30,2017-12-01 11:30,33,6
1557.39,1557.6,1561.86,1554.47,4734691.0,473483008.0,2017,12,1,14,0,2017-12-01 14:00,31,6
1557.41,1562.91,1563.2,1555.89,7403415.0,740355840.0,2017,12,1,15,0,2017-12-01 15:00,34,5
1560.65,1560.93,1562.63,1552.79,10205342.0,1020547456.0,2017,12,4,10,30,2017-12-04 10:30,8,29
1561.0,1559.43,1561.81,1557.36,5123740.0,512388864.0,2017,12,4,11,30,2017-12-04 11:30,10,29
1559.86,1553.05,1560.49,1550.52,7462776.0,746291584.0,2017,12,4,14,0,2017-12-04 14:00,8,29
1554.74,1549.4,1555.49,1547.15,8679501.0,867963648.0,2017,12,4,15,0,2017-12-04 15:00,9,29
1544.43,1540.83,1552.21,1540.83,10925432.0,1092556672.0,2017,12,5,10,30,2017-12-05 10:30,10,27
1540.26,1541.61,1543.15,1535.82,6158638.0,615877632.0,2017,12,5,11,30,2017-12-05 11:30,6,33
1541.66,1527.4,1542.16,1526.68,7485060.0,748520320.0,2017,12,5,14,0,2017-12-05 14:00,6,33
1528.63,1521.27,1528.8,1512.12,10993212.0,1099335936.0,2017,12,5,15,0,2017-12-05 15:00,3,35
1517.02,1523.86,1528.6,1515.29,9627766.0,962790528.0,2017,12,6,10,30,2017-12-06 10:30,15,19
1524.25,1518.61,1525.25,1517.03,4753535.0,475367936.0,2017,12,6,11,30,2017-12-06 11:30,16,20
