open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
3094.27,3114.8,3120.98,3090.29,754459200.0,75445952512.0,2018,4,19,10,30,2018-04-19 10:30,458,769
3115.23,3121.51,3121.81,3112.09,359952128.0,35995246592.0,2018,4,19,11,30,2018-04-19 11:30,821,451
3122.29,3119.67,3127.38,3116.95,377932992.0,37793333248.0,2018,4,19,14,0,2018-04-19 14:00,952,335
3119.32,3117.38,3119.86,3107.88,469644224.0,46964457472.0,2018,4,19,15,0,2018-04-19 15:00,893,396
3105.46,3103.68,3110.91,3097.47,619281984.0,61928230912.0,2018,4,20,10,30,2018-04-20 10:30,238,1059
3103.99,3080.01,3103.99,3079.77,370623456.0,37062381568.0,2018,4,20,11,30,2018-04-20 11:30,305,1025
3079.69,3072.01,3079.69,3065.92,351488704.0,35148906496.0,2018,4,20,14,0,2018-04-20 14:00,161,1186
3071.71,3071.54,3076.86,3067.19,509995136.0,50999549952.0,2018,4,20,15,0,2018-04-20 15:00,180,1168
3063.44,3060.83,3085.06,3059.33,583785472.0,58378584064.0,2018,4,23,10,30,2018-04-23 10:30,557,693
3061.5,3068.28,3079.92,3054.64,334782016.0,33478238208.0,2018,4,23,11,30,2018-04-23 11:30,451,847
3068.17,3048.12,3068.59,3048.12,259875936.0,25987629056.0,2018,4,23,14,0,2018-04-23 14:00,522,799
3048.47,3068.01,3068.8,3045.97,400103072.0,40010342400.0,2018,4,23,15,0,2018-04-23 15:00,324,994
3069.75,3118.93,3122.57,3069.75,750863296.0,75086364672.0,2018,4,24,10,30,2018-04-24 10:30,945,314
3118.81,3131.52,3135.94,3118.81,396458624.0,39645896704.0,2018,4,24,11,30,2018-04-24 11:30,1222,121
3132.58,3123.74,3134.79,3120.41,337967424.0,33796775936.0,2018,4,24,14,0,2018-04-24 14:00,1280,74
3123.66,3128.93,3130.17,3116.16,470159328.0,47015968768.0,2018,4,24,15,0,2018-04-24 15:00,1281,71
3112.4,3115.46,3120.39,3107.0,646114880.0,64611520512.0,2018,4,25,10,30,2018-04-25 10:30,294,1004
3115.27,3119.3,3122.72,3110.16,322397248.0,32239759360.0,2018,4,25,11,30,2018-04-25 11:30,578,714
3119.93,3113.87,3122.38,3113.09,262152096.0,26215243776.0,2018,4,25,14,0,2018-04-25 14:00,525,786
3113.68,3117.97,3121.83,3110.94,382315808.0,38231613440.0,2018,4,25,15,0,2018-04-25 15:00,522,792
3119.5,3095.09,3121.84,3095.07,638504192.0,63850455040.0,2018,4,26,10,30,2018-04-26 10:30,483,759
3095.36,3089.21,3095.36,3082.57,307101600.0,30710194176.0,2018,4,26,11,30,2018-04-26 11:30,227,1114
3089.65,3082.89,3089.65,3080.59,226559904.0,22656024576.0,2018,4,26,14,0,2018-04-26 14:00,248,1093
3083.55,3075.03,3083.83,3067.99,465670624.0,46567096320.0,2018,4,26,15,0,2018-04-26 15:00,224,1119
3082.41,3079.97,3088.03,3056.58,729481984.0,72948236288.0,2018,4,27,10,30,2018-04-27 10:30,989,301
3080.6,3052.32,3080.6,3051.9,352781408.0,35278176256.0,2018,4,27,11,30,2018-04-27 11:30,853,455
3051.85,3073.27,3073.3,3049.91,289460448.0,28946079744.0,2018,4,27,14,0,2018-04-27 14:00,553,749
3074.63,3082.23,3082.95,3074.63,423477312.0,42347765760.0,2018,4,27,15,0,2018-04-27 15:00,839,485
3087.41,3083.01,3097.46,3078.44,750639104.0,75063943168.0,2018,5,2,10,30,2018-05-02 10:30,648,603
3082.77,3070.45,3083.88,3069.38,295194752.0,29519511552.0,2018,5,2,11,30,2018-05-02 11:30,574,716
3069.94,3073.96,3076.73,3067.24,261771504.0,26177183744.0,2018,5,2,14,0,2018-05-02 14:00,467,843
3073.85,3081.18,3082.1,3064.76,374854784.0,37485510656.0,2018,5,2,15,0,2018-05-02 15:00,455,866
3074.52,3057.94,3080.81,3057.86,616640640.0,61664100352.0,2018,5,3,10,30,2018-05-03 10:30,344,914
3057.62,3076.32,3076.32,3056.38,285020704.0,28502106112.0,2018,5,3,11,30,2018-05-03 11:30,258,1086
3075.94,3096.45,3097.56,3072.51,339525216.0,33952555008.0,2018,5,3,14,0,2018-05-03 14:00,485,815
3096.3,3100.86,3105.15,3094.73,493261600.0,49326194688.0,2018,5,3,15,0,2018-05-03 15:00,981,327
3093.12,3099.18,3104.09,3090.65,547439744.0,54744010752.0,2018,5,4,10,30,2018-05-04 10:30,296,963
3099.35,3097.02,3100.11,3090.01,288556512.0,28855685120.0,2018,5,4,11,30,2018-05-04 11:30,637,635
3097.02,3097.55,3103.19,3093.44,260073376.0,26007371776.0,2018,5,4,14,0,2018-05-04 14:00,607,687
3098.09,3091.03,3098.81,3087.23,388292672.0,38829301760.0,2018,5,4,15,0,2018-05-04 15:00,666,636
3094.9,3112.73,3116.22,3091.88,609661696.0,60966207488.0,2018,5,7,10,30,2018-05-07 10:30,851,387
3112.35,3128.34,3129.36,3108.44,377342176.0,37734252544.0,2018,5,7,11,30,2018-05-07 11:30,1098,210
3129.27,3127.12,3134.07,3126.68,357567520.0,35756785664.0,2018,5,7,14,0,2018-05-07 14:00,1239,104
3127.43,3136.64,3136.76,3127.25,437865824.0,43786616832.0,2018,5,7,15,0,2018-05-07 15:00,1221,117
3135.3,3153.66,3158.22,3134.1,742909440.0,74290978816.0,2018,5,8,10,30,2018-05-08 10:30,622,567
3153.22,3165.08,3165.36,3149.1,351410976.0,35141132288.0,2018,5,8,11,30,2018-05-08 11:30,623,642
3165.26,3161.01,3169.7,3156.89,362084896.0,36208525312.0,2018,5,8,14,0,2018-05-08 14:00,885,392
3160.56,3161.5,3164.34,3153.39,433709696.0,43371003904.0,2018,5,8,15,0,2018-05-08 15:00,811,472
